Module (week),Activity set,Activity,Type of activities,Exercice type,Pronunciation aspect,Problems (number) ; steps,Link to content,
Criminal Law 🗃️ 2,Legal procedure 📜,Under pressure,Speaking ,SpokenSentence,WS,,https://docs.google.com/spreadsheets/d/19s7zrF0pFCFccM5Vb8BypV_OMkaU2smt199rG-c7YxY/edit?usp=sharing,
Criminal Law 🗃️ 2,Legal procedure 📜,Pick your player,Listening ,Pick Stress Pattern,WS,,https://docs.google.com/spreadsheets/d/1ydzFI5WYHNPdkeelhpgeBLlwZCuta3WMWM--wfbI0CY/edit?usp=sharing,
Criminal Law 🗃️ 2,Legal procedure 📜,Paperwork,Speaking ,Spoken Card,WS/VC1,,https://docs.google.com/spreadsheets/d/1xXfzboB6FECnBzo5RPggNNIprVbas5Kh5UDsFDdwWtY/edit?usp=sharing,
Criminal Law 🗃️ 2,Legal procedure 📜,The right stress,Listening ,Match Word to Stress Pattern,WS,,https://docs.google.com/spreadsheets/d/1esS1UYrPDn7GOzv1ij-qBRwaMKMB9oc1iILwI-ZC098/edit?usp=sharing,
Criminal Law 🗃️ 2,Legal procedure 📜,Step by step,Speaking ,Spoken Sentence,WS/VC1,,https://docs.google.com/spreadsheets/d/110v8jwSzGsvWErBj0NbHv87efOCBBxn_Ct7m9bta_gI/edit?usp=sharing,
Criminal Law 🗃️ 2,Consequences ⚠️,Show me what you got,Listening ,Count syllable,WS,12,https://docs.google.com/spreadsheets/d/1_G-f4cpL6MA8W21KWnR5SLuracOpm4YKObf5dGk5aM0/edit?usp=sharing,
Criminal Law 🗃️ 2,Consequences ⚠️,Crowded room,Speaking ,Spoken Card,VC1,8,https://docs.google.com/spreadsheets/d/1s9khiQsNLmWWd7fYlDKD2Rwz6n_OBiH6ah_Ur1LIwNM/edit?usp=sharing,
Criminal Law 🗃️ 2,Consequences ⚠️,Aftermath,Listening ,Pick Stressed Syllable,WS,,https://docs.google.com/spreadsheets/d/1Lus-Me0VMs0JDgcivg8Ionz5zHuYA8hTYC5T-eS6iCM/edit?usp=sharing,
Criminal Law 🗃️ 2,Consequences ⚠️,No pain no game ,Speaking ,Spoken Sentence,WS/VC1,,https://docs.google.com/spreadsheets/d/1JGmf5t-niPXU7LloH9cBH8Z0IkkpR8epnnTyhuEMTvY/edit?usp=sharing,
Criminal Law 🗃️ 2,Consequences ⚠️,You reap what you sow,Speaking ,Spoken Card,WS/VC1,,https://docs.google.com/spreadsheets/d/1lK62ytbcyom9WmrjEeG2fCU8w7KylQCXm7Fy1-f_C1g/edit?usp=sharing,
Criminal Law 🗃️ 2,REVISION 🤓,Get it right,Listening ,Input Stress Pattern,WS,,https://docs.google.com/spreadsheets/d/16iLql9Z15FS-bf0Tothbo4twXnrcxj8xEZe8UFjozYQ/edit?usp=sharing,
Criminal Law 🗃️ 2,REVISION 🤓,No secret between us ,Speaking ,Spoken Sentence,WS,,https://docs.google.com/spreadsheets/d/14e1WkyFx9Uo-ZMVtieaVtAkh8hZHyXFJx2gBR5uww9M/edit?usp=sharing,
Criminal Law 🗃️ 2,REVISION 🤓,The Lawyer whisperer,Listening ,Match Word to Stress Pattern,WS,,https://docs.google.com/spreadsheets/d/1iaYT6oZBjQ6vEZgXtUDtxd7o9NADP11kyhCil_E_p-w/edit?usp=sharing,
Criminal Law 🗃️ 2,REVISION 🤓,Fast & not furious at all ,Speaking ,Spoken Card,WS/VC1,,https://docs.google.com/spreadsheets/d/1nWnay7R0EqRqKmLD04EMmhZC2HfLfesaayASzEeiezs/edit?usp=sharing,
Addressing the court 📣 1,Entering the court 🚶🏽‍♀️,How to speak in the past,TUTORIAL 1,Tutorial,ED,,,
Addressing the court 📣 1,Entering the court 🚶🏽‍♀️,Actions,Listening ,Pick Phonetics,ED,8,https://docs.google.com/spreadsheets/d/1Ceiwe3PIOEDui4ZZT9N_Eu4UE4pRSkw7XsRN4um_vrk/edit?usp=sharing,
Addressing the court 📣 1,Entering the court 🚶🏽‍♀️,What can happen? ,Listening ,Pick Audio Unlike Others,ED,8,https://docs.google.com/spreadsheets/d/1qLXhUGHT7US6z782OqPfpfIxAon2WlOAYtICHyhgIFs/edit?usp=sharing,
Addressing the court 📣 1,Entering the court 🚶🏽‍♀️,Voiced or Voiceless? ,TUTORIAL 2,Tutorial,ED,,,
Addressing the court 📣 1,Entering the court 🚶🏽‍♀️,Procedures in the court,Speaking ,Spoken Card,ED,8,https://docs.google.com/spreadsheets/d/1syJ2owIZ-uME60J-f0me-M_1jXH9p7JFLcePwonCE34/edit?usp=sharing,
Addressing the court 📣 1,Entering the court 🚶🏽‍♀️,Simon says ...,Speaking,Spoken Card,ED,,https://docs.google.com/spreadsheets/d/11ohGXfgIui971H77VZ5Z-a3UjfOUcpH9mgWrlyHrkkE/edit?usp=sharing,
