IPA,CMU
ɑ,AA
ɒ,AA
æ,AE
ʌ,AH
ɔ,AO
aʊ,AW
ə,AH
ɚ,ER
aɪ,AY
ɛ,EH
ɝ,ER
eɪ,EY
ɪ,IH
ɨ,IH
i,IY
oʊ,OW
ɔɪ,OY
ʊ,UH
u,UW
ʉ,UW
b,B
tʃ,CH
d,D
ð,DH
ɾ,T
l̩,L
m̩,M
n̩,N
f,F
ɡ,G
h,HH
dʒ,JH
k,K
l,L
m,M
n,N
ŋ,NG
ɾ̃,N
p,P
ʔ,Q
ɹ,R
s,S
ʃ,SH
t,T
θ,TH
v,V
w,W
ʍ,W
j,Y
z,Z
ʒ,ZH
ə̥,AH
b̚,B
d̚,D
ŋ̍,NG
ɡ̚,G
ɦ,HH
k̚,K
p̚,P
t̚,T
